site,class,newgroup,month,season,med,mean,s80th,BG,TC,n2med,n2mean,n2BG,n2TC,rainfall
s1160115,reference,Minimal disturbance,Jun-21,Dry,22.977,23.143,31.987,5,94,3.134493716,3.141692359,1.609437912,4.543294782,3.44516129
s1160115,reference,Minimal disturbance,Jul-21,Dry,1.603,2.163,2.5555,0.05914077,98.85886655,0.471876874,0.771496147,-2.827834745,4.593693243,0.874193548
s1160115,reference,Minimal disturbance,Aug-21,Dry,1.324,1.495,2.137,0.63088313,98.08302485,0.280657458,0.402126207,-0.460634648,4.585814312,1.967741935
s1160115,reference,Minimal disturbance,Sep-21,Dry,1.942,2.107,2.885,3.35,95.195,0.66371837,0.745265135,1.208960346,4.555927419,0.286666667
s1160115,reference,Minimal disturbance,Oct-21,Dry,3.977,4.028,4.911,0.41283916,98.15224331,1.380527766,1.393269975,-0.884697205,4.586519776,0.441935484
s1160115,reference,Minimal disturbance,Nov-21,Wet,7.667,12.29,16.058,1.43057696,97.10186612,2.036925405,2.508785924,0.358077831,4.575760594,5.623333333
s1160115,reference,Minimal disturbance,Dec-21,Wet,9.381,10.06,12.285,0.58092713,98.00569633,2.238686367,2.308567165,-0.543129952,4.585025603,4.474193548
s1160115,reference,Minimal disturbance,Jan-22,Wet,5.482,5.8,6.851,0.97943988,97.60869082,1.701469998,1.757857918,-0.020774422,4.580966535,6.058064516
s1160115,reference,Minimal disturbance,Feb-22,Wet,3.008,5.081,4.634,0.14782918,98.65240167,1.101275406,1.625508093,-1.911697861,4.591602578,7.246428571
s1160115,reference,Minimal disturbance,Mar-22,Wet,3.688,4.165,5.366,0.17178077,98.65191557,1.305084306,1.426716276,-1.761536208,4.59159765,2.44516129
s1160115,reference,Minimal disturbance,Apr-22,Dry,3.053,4.67,4.483,1.75373134,97.02985075,1.116124714,1.541159072,0.561745712,4.575018671,14.21333333
s1160115,reference,Minimal disturbance,May-22,Dry,2.473,3.474,4.509,0.14241999,98.7597858,0.905431989,1.245306668,-1.948974911,4.592690496,9.087096774
s1160115,reference,Minimal disturbance,Jun-22,Dry,0.8115,1.2323,1.9535,0.10664125,98.76554976,-0.208870892,0.208882342,-2.238284881,4.592748857,1.746666667
s1160115,reference,Minimal disturbance,Jul-22,Dry,0.365,1.486,1.917,0.07090157,98.83390318,-1.007857925,0.396087946,-2.646462702,4.593440695,4.690322581
s1160115,reference,Minimal disturbance,Aug-22,Dry,0.907,6.303,2.256,0.33333333,98.51691217,-0.097612829,1.841025711,-1.098612299,4.590228231,3.241935484
s1160115,reference,Minimal disturbance,Sep-22,Dry,3.26,3.472,5.049,0.76289096,97.82333051,1.181727195,1.244730797,-0.270640167,4.583163102,1.63
s1160115,reference,Minimal disturbance,Oct-22,Dry,5.03,5.113,6.223,0.55703756,98.08810109,1.615419984,1.631786316,-0.585122609,4.585866066,3.25483871
s1160115,reference,Minimal disturbance,Nov-22,Wet,4.888,5.211,6.061,0.56141244,98.0836471,1.586783222,1.650771776,-0.577299456,4.585820656,4.06
s1160115,reference,Minimal disturbance,Dec-22,Wet,6.003,7.46,8.242,1.22445081,97.29321872,1.792259344,2.009555414,0.202492425,4.577729292,6.064516129
s1160115,reference,Minimal disturbance,Feb-23,Wet,3.666,5.44,5.686,0.66071429,98.00446429,1.299101149,1.693779061,-0.414433772,4.585013032,8.417857143
s1160115,reference,Minimal disturbance,Mar-23,Wet,3.465,6.653,6.359,0.37826685,98.17056397,1.242712633,1.895067881,-0.97215538,4.586706415,5.793548387
s1160115,reference,Minimal disturbance,Apr-23,Dry,2.782,6.275,3.825,0.1054705,98.75029099,1.023170094,1.836573485,-2.249323986,4.592594351,2.87
s1160115,reference,Minimal disturbance,Jul-23,Dry,2.932,3.972,5.14,3.41124096,95.34928585,1.075684784,1.379269746,1.227076143,4.557546842,3.596774194
s1160115,reference,Minimal disturbance,Aug-23,Dry,1.669,1.738,2.167,0.10934164,98.6769573,0.512224645,0.552735027,-2.213277987,4.591851457,0.551612903
s1160115,reference,Minimal disturbance,Sep-23,Dry,2.792,2.822,3.368,0.25431034,98.47928254,1.026758185,1.037445853,-1.369199947,4.589846197,0.76
s1160115,reference,Minimal disturbance,Oct-23,Dry,4.119,4.202,4.614,0.58050162,97.96510922,1.415610415,1.435560602,-0.543862687,4.584611387,0.651612903
s1160115,reference,Minimal disturbance,Dec-23,Wet,7.59,10.481,12.066,1.28624302,97.27286186,2.026831591,2.349564094,0.251725582,4.577520038,12.41
